SOURCE	TARGET
المدينة	المدينة	UC
	،	INSERT_PM
ثم	ثم	UC
سألوني	سألوني	UC
عن	عن	UC
السعودية	السعودية	UC
وأهلها	وأهلها	UC
	،	INSERT_PM
وكيف	وكيف	UC
وجدتها	وجدتها	UC
ومن	ومن	UC
فيها	فيها	UC
،	؟	REPLACE_PC
فأجبتهم	فأجبتهم	UC
بما	بما	UC
تيسر	تيسر	UC
لي	لي	UC
أن	أن	UC
أجيبه	أجيبهم	REPLACE_MI
.	،	REPLACE_PC
ثم	ثم	UC
عقدوا	عقدوا	UC
لي	لي	UC
مجلسا	مجلسا	UC
أدرس	أدرس	UC
فيه	فيه	UC
القرآن	القرآن	UC
	،	INSERT_PM
وأعظ	واعظا	REPLACE_OH+REPLACE_XC
فيه	فيه	UC
الناس	الناس	UC
بما	بما	UC
تيسر	تيسر	UC
لي	لي	UC
	،	INSERT_PM
وما	وبما	REPLACE_OM
تعلمته	تعلمته	UC
من	من	UC
العقيدة	العقيدة	UC
الصحيحة	الصحيحة	UC
من	من	UC
أساتذي	أساتذتي	REPLACE_OM
الفضلاء	الفضلاء	UC
	،	INSERT_PM
فيقيت	فبقيت	REPLACE_OR
على	على	UC
هذا	هذا	UC
أكثر	أكثر	UC
من	من	UC
حين	حين	UC
لحتى	حتى	REPLACE_OD
عدت	عدت	UC
إلى	إلى	UC
المدينة	المدينة	UC
.	.	UC

أحب	أحب	UC
كلية	كلية	UC
أصول	أصول	UC
الدين	الدين	UC
الكلمة	. كلمة	REPLACE_PM+REPLACE_XF
أصول	أصول	UC
الدين	الدين	UC
يعنى	تعني	REPLACE_MI
أصول	أصول	UC
الإسلام	الإسلام	UC
	،	INSERT_PM
ولا	ولا	UC
بد	بد	UC
علينا	لنا	REPLACE_OD
أن	أن	UC
نعرف	نعرف	UC
عن	عن	UC
الدين	الدين	UC
والسنة	وسنة	REPLACE_XF
النبي	النبي	UC
	-	INSERT_PM
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
	-	INSERT_PM
	.	INSERT_PM
وهذه	وهذه	UC
الكلية	الكلية	UC
التي	التي	UC
أحب	أحب	UC
	أن	INSERT_XM
	أدرس	INSERT_XM
فيه	فيها	REPLACE_XG
	؛	INSERT_PM
لأنها	لأن فيها	REPLACE_X
العلم	علم	REPLACE_XF
أصول	الأصول	REPLACE_XF
بجميع	بجميع	UC
عن	أنواعه	REPLACE_SW
	،	INSERT_PM
الدين	والدين	REPLACE_SF
الإسلام	الإسلامي	REPLACE_OM
	،	INSERT_PM
وإن	وإن	UC
شاء	شاء	UC
الله	الله	UC
	،	INSERT_PM
لو	لو	UC
فهمنا	فهمنا	UC
جيدا	جيدا	UC
عن		DELETE_XM
الدين	الدين	UC
يجعلنا	سيجعلنا	REPLACE_MT
سليم	سليمي	REPLACE_XN
العقيدة	العقيدة	UC
والتوحيد	وموحدين	REPLACE_SW
الله	الله	UC
وحده	وحده	UC
	،	INSERT_PM
إذا	فإذا	REPLACE_SF
كان	كنا	REPLACE_OC
سليم	سليمي	REPLACE_XN
العقيدة	العقيدة	UC
ولا	ولا	UC
يشرك	نشرك	REPLACE_OR
بالله	بالله	UC
تعالى	تعالى	UC
	،	INSERT_PM
إذا	فإذا	REPLACE_SF
هذا	هذا	UC
الذي	الذي	UC
يريد	يريد	UC
الناس	الناس	UC
حقيقتا	حقيقة .	REPLACE_PM+REPLACE_XN
أحب	أحب	UC
الكلية	كلية	REPLACE_XF
أصول	أصول	UC
الدين	الدين	UC
	؛	INSERT_PM
لأننى	لأنني	REPLACE_OA
أريد	أريد	UC
أن	أن	UC
يجعلنا	يجعلنا	UC
من	من	UC
المسلم	المسلمين	REPLACE_XN
السليم	السليمي	REPLACE_OM
العقيدة	العقيدة	UC
	؛	INSERT_PM
لأن	لأن	UC
في	في	UC
بلدنا	بلدنا	UC
كثير	كثير	UC
من	من	UC
الناس	الناس	UC
لا	لا	UC
يفهمون	يفهمون	UC
عن		DELETE_XM
العقيدة	العقيدة	UC
	،	INSERT_PM
هم	وهم	REPLACE_MI
لا	لا	UC
يدرسون	يدرسون	UC
	،	INSERT_PM
وأردت	وأردت	UC
أن	أن	UC
أدرسهم	أدرسهم	UC
ليفهمون	ليفهموا	REPLACE_OR
عن		DELETE_XM
العقيدة	العقيدة	UC
الصحيح	الصحيحة	REPLACE_XG
	.	INSERT_PM
وإن	وإن	UC
شاء	شاء	UC
الله	الله	UC
	،	INSERT_PM
لو	لو	UC
كان	كان	UC
هناك	هناك	UC
فرصة	فرصة	UC
سأكون	سأكون	UC
مدرس	مدرسا	REPLACE_XC
في	في	UC
علم	علم	UC
العقيدة	العقيدة	UC
في	في	UC
بلادنا	بلادنا	UC
	،	INSERT_PM
إن	إن	UC
شاء	شاء	UC
الله	الله	UC
.	.	UC
وأخيرا	وأخيرا	UC
	،	INSERT_PM
أشكر	أشكر	UC
الله	الله	UC
تعالى	تعالى	UC
على	على	UC
كل	كل	UC
شيء	شيء	UC
	،	INSERT_PM
وعلى	وعلى	UC
ما	ما	UC
قدر	قدر	UC
الله	الله	UC
تعالى	تعالى	UC
علينا	لنا	REPLACE_OD
	،	INSERT_PM
وأشكر	وأشكر	UC
الله	الله	UC
على	على	UC
حضوركم	حضوركم	UC
	،	INSERT_PM
"	"	UC
والسلام	والسلام	UC
عليكم	عليكم	UC
ورحمة	ورحمة	UC
الله	الله	UC
وبركاته	وبركاته	UC
"	"	UC
	.	INSERT_PM

التخصص	التخصص	UC
في	في	UC
الشريعة	الشريعة	UC
	.	INSERT_PM
الحمد	الحمد	UC
لله	لله	UC
	،	INSERT_PM
والسلام	والسلام	UC
على	على	UC
خليل	خليل	UC
الله	الله	UC
،	،	UC
وعلى	وعلى	UC
اله	آله	REPLACE_OH
وأصحابه	وأصحابه	UC
إلى	إلى	UC
يوم	يوم	UC
الساعة	الساعة	UC
.	.	UC
أما	أما	UC
بعد	بعد	UC
:	:	UC
أريد	أريد	UC
أن	أن	UC
اتخصص	أتخصص	REPLACE_OH
في	في	UC
علوم	علوم	UC
الشريعة	الشريعة	UC
	،	INSERT_PM
أولا	أولا	UC
:	؛	REPLACE_PC
لأن	لأن	UC
بلدنا	بلدي	REPLACE_MI
-		DELETE_PM
أفغانستان	أفغانستان	UC
،		DELETE_PM
وأهلها	وأهلها	UC
-		DELETE_PM
بعيد	بعيدون	REPLACE_XN
ويحتاجون	ويحتاجون	UC
إلى	إلى	UC
تعليم	تعليم	UC
العلم	العلم	UC
الشرعي	الشرعي	UC
،	،	UC
وهذا	وهذا	UC
من	من	UC
تمنياتي	أمنياتي	REPLACE_OR
أن	أن	UC
أدعو	أدعو	UC
الناس	الناس	UC
كافة	كافة	UC
إلى	إلى	UC
كتاب	كتاب	UC
الله	الله	UC
وسنة	وسنة	UC
رسوله	رسوله	UC
-	-	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
-	-	UC
	.	INSERT_PM
وأرجو	وأرجو	UC
من	من	UC
الله	الله	UC
أن	أن	UC
أدخلني	يدخلني	REPLACE_MT
تحت	تحت	UC
قول	قول	UC
رسول	رسول	UC
الله	الله	UC
-	-	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
-	-	UC
	:	INSERT_PM
"	"	UC
خيركم	خيركم	UC
من	من	UC
تعلم	تعلم	UC
القرآن	القرآن	UC
وعلمه	وعلمه	UC
"	"	UC
	.	INSERT_PM
وأن	وأن	UC
أقضي	أقضي	UC
عمري	عمري	UC
في	في	UC
إصلاح	إصلاح	UC
الناس	الناس	UC
.	،	REPLACE_PC
وغير	وغير	UC
ذلك	ذلك	UC
.	،	REPLACE_PC
وبالله	وبالله	UC
التوفيق	التوفيق	UC
.	.	UC

طالب	طالب	UC
العلم	العلم	UC
في	في	UC
المسجد	المسجد	UC
	.	INSERT_PM
إن	إن	UC
مما	مما	UC
يحمد	يحمد	UC
للمسلم	للمسلم	UC
عامه	عامة	REPLACE_OT
ولطالب	ولطالب	UC
العلم	العلم	UC
خاصه	خاصة	REPLACE_OT
،		DELETE_PM
حرصه	حرصه	UC
على	على	UC
أن	أن	UC
يكون	يكون	UC
من	من	UC
السابقين	السابقين	UC
إلى	إلى	UC
الجمعة	الجمعة	UC
	،	INSERT_PM
والجماعه	والجماعة	REPLACE_OT
،	،	UC
والمحافطة	والمحافطة	UC
على	على	UC
الصف	الصف	UC
الأول	الأول	UC
،	،	UC
ويتأكد	ويتأكد	UC
هذا	هذا	UC
الحرص	الحرص	UC
في	في	UC
طالب	طالب	UC
العلم	العلم	UC
؛		DELETE_PM
لكونه	لكونه	UC
قدوه	قدوة	REPLACE_OT
للآخرين	للآخرين	UC
،	،	UC
وحتى	وحتى	UC
يطايق	يطابق	REPLACE_OR
فعله	فعله	UC
قوله	قوله	UC
	،	INSERT_PM
فقييح	فحقيق	REPLACE_SW
بطالب	بطالب	UC
العلم	العلم	UC
أن	أن	UC
يحث	يحث	UC
الناس	الناس	UC
على	على	UC
التبكير	التبكير	UC
إلى	إلى	UC
المسجد	المسجد	UC
	،	INSERT_PM
ويحذرهم	ويحذرهم	UC
من	من	UC
التأخير	التأخير	UC
	.	INSERT_PM
فاحرص	فاحرص	UC
-	-	UC
رعاك	رعاك	UC
الله	الله	UC
-	-	UC
أن	أن	UC
تكون	تكون	UC
مثل	مثل	UC
طالب	طالب	UC
العلم	العلم	UC
المتصف	المتصف	UC
بصفات	بصفات	UC
السلف	السلف	UC
الصالح	الصالح	UC
.	،	REPLACE_PC
كالحرص	كالحرص	UC
على	على	UC
الحمعه	الجمعة	REPLACE_OR+REPLACE_OT
	،	INSERT_PM
والجماعه	والجماعة	REPLACE_OT
	،	INSERT_PM
والمسارعه	والمسارعة	REPLACE_OT
إلى	إلى	UC
المسجد	المسجد	UC
عند	عند	UC
سماع	سماع	UC
النداء	النداء	UC
	.	INSERT_PM
وفي	وفي	UC
تزجمه	ترجمة	REPLACE_OR+REPLACE_OT
إبراهيم	إبراهيم	UC
بن	بن	UC
ميمون	ميمون	UC
الصائع	الصائغ	REPLACE_OR
قال	قال	UC
عنه	عنه	UC
